level	let_mev_cm2_mg	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
high	0.01	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.010995218165011596	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.012089482249620098	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.013292649483660822	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.014615558106387948	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.016070124998313926	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.01766945302954682	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.01942794909162924	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.021361453876120245	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.02348738456897747	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.025824891746143414	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.028395031883665423	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.031220957036336136	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.03432812339349699	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.037744520590693754	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.041500923842845025	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.045631171170161265	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.050172468214091034	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.055165723389104096	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.06065591638938824	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.06669250337000263	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.07332986245239502	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.08062778356743756	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.0886520070485313	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.09747481582647473	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.10717568656064148	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.1178420055719155	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.1295698560265723	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.1424648834621305	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.15664324745190775	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.17223266798096232	1.5625e-11	2.763541923337505e-12	1.39965075793748e-10	1	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.18937357595926882	3.125e-11	5.52708384667501e-12	1.6668203200188532e-10	2	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.20822037823605558	3.125e-11	5.52708384667501e-12	1.6668203200188532e-10	2	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.22894284851066635	3.125e-11	5.52708384667501e-12	1.6668203200188532e-10	2	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.25172765666939767	4.6875000000000006e-11	1.1375680269509379e-11	1.9031393371052581e-10	3	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.27678005032471653	6.25e-11	1.883255870963048e-11	2.1233755340187954e-10	4	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.30432570370431467	6.25e-11	1.883255870963048e-11	2.1233755340187954e-10	4	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.33461275054496176	7.8125e-11	2.7334743319955524e-11	2.333158669230293e-10	5	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.3679140193036457	9.375e-11	3.6594718831887964e-11	2.5353638954257174e-10	6	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.40452949082098744	1.09375e-10	4.244331525472234e-11	2.7716829125121223e-10	7	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.4447890005757813	1.09375e-10	4.244331525472234e-11	2.7716829125121223e-10	7	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.48905520987281836	1.25e-10	5.2290390931370253e-11	2.9680171370603913e-10	8	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.5377268727287171	1.4062500000000002e-10	5.974726937149136e-11	3.1882533339739286e-10	9	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.5912424278841669	1.5625e-10	7.007015023046095e-11	3.3798295066989813e-10	10	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.6500839482997554	1.5625e-10	7.007015023046095e-11	3.3798295066989813e-10	10	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.714781483712793	2.3437500000000003e-10	1.2334862440906446e-10	4.3210696714866864e-10	15	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.7859178353732842	2.65625e-10	1.4447760863803852e-10	4.699389791826444e-10	17	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.8641338059702928	2.8125000000000004e-10	1.5432468431468645e-10	4.895724016374713e-10	18	128	ngspice_Qcrit_plus_RPP_charge_collection
high	0.9501339720405169	3.7500000000000005e-10	2.2328468149955002e-10	5.974953932414567e-10	24	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.0446930308574516	4.53125e-10	2.8361022247171417e-10	6.845723429266667e-10	29	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.1486627789744865	4.687500000000001e-10	2.956979689340627e-10	7.01965094595793e-10	30	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.2629797852852982	6.093750000000001e-10	4.1163930238197025e-10	8.513482443311591e-10	39	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.3886738277211363	7.343750000000001e-10	5.197871126668344e-10	9.790444190980936e-10	47	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.5268771695835615	8.125e-10	5.895998988322773e-10	1.056634123590025e-09	52	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.6788347590746675	8.437500000000001e-10	6.178501696885175e-10	1.0873448489967341e-09	54	128	ngspice_Qcrit_plus_RPP_charge_collection
high	1.845915443903066	9.53125e-10	7.180953909060868e-10	1.1934631146994889e-09	61	128	ngspice_Qcrit_plus_RPP_charge_collection
high	2.0296243019878424	1.046875e-09	8.067569196400114e-10	1.2816845747544133e-09	67	128	ngspice_Qcrit_plus_RPP_charge_collection
